날짜,시도,측정소,PM10,PM25
2016-01-30,서울,강남구,77,36
2016-01-31,서울,강남구,60,29
2016-01-01,서울,서초구,106,71
2016-01-02,서울,서초구,69,31
2016-01-03,서울,서초구,183,88
2016-01-04,서울,서초구,179,100
2016-01-05,서울,서초구,50,17
2016-01-06,서울,서초구,76,28
2016-01-07,서울,서초구,72,28
2016-01-08,서울,서초구,45,22
2016-01-09,서울,서초구,44,18
2016-01-10,서울,서초구,41,19
2016-01-11,서울,서초구,62,26
2016-01-12,서울,서초구,61,25
2016-01-13,서울,서초구,40,21
2016-01-14,서울,서초구,50,29
2016-01-15,서울,서초구,57,46
2016-01-16,서울,서초구,64,48
2016-01-17,서울,서초구,74,60
2016-01-18,서울,서초구,76,56
2016-01-19,서울,서초구,36,16
2016-01-20,서울,서초구,42,27
2016-01-21,서울,서초구,55,31
2016-01-22,서울,서초구,57,29
2016-01-23,서울,서초구,24,18
2016-01-24,서울,서초구,33,10
2016-01-25,서울,서초구,72,18
2016-01-26,서울,서초구,76,42
2016-01-27,서울,서초구,62,40
2016-01-28,서울,서초구,58,33
2016-01-29,서울,서초구,51,34
2016-01-30,서울,서초구,60,20
2016-01-31,서울,서초구,48,21
2016-01-01,서울,송파구,86,60
2016-01-02,서울,송파구,53,29
2016-01-03,서울,송파구,101,73
2016-01-04,서울,송파구,107,80
2016-01-05,서울,송파구,38,16
2016-01-06,서울,송파구,55,26
2016-01-07,서울,송파구,60,28
2016-01-08,서울,송파구,50,21
2016-01-09,서울,송파구,50,23
2016-01-10,서울,송파구,23,12
2016-01-11,서울,송파구,49,15
2016-01-12,서울,송파구,54,34
2016-01-13,서울,송파구,40,16
2016-01-14,서울,송파구,40,20
2016-01-15,서울,송파구,82,44
2016-01-16,서울,송파구,70,47
2016-01-17,서울,송파구,89,50
2016-01-18,서울,송파구,76,8
2016-01-19,서울,송파구,34,16
2016-01-20,서울,송파구,60,33
2016-01-21,서울,송파구,60,35
2016-01-22,서울,송파구,63,31
2016-01-23,서울,송파구,27,12
2016-01-24,서울,송파구,33,15
2016-01-25,서울,송파구,74,23
2016-01-26,서울,송파구,79,46
2016-01-27,서울,송파구,81,46
2016-01-28,서울,송파구,70,49
2016-01-29,서울,송파구,63,36
2016-01-30,서울,송파구,75,28
2016-01-31,서울,송파구,60,35
2016-01-01,서울,강동구,82,44
2016-01-02,서울,강동구,75,39
2016-01-03,서울,강동구,144,75
2016-01-04,서울,강동구,139,79
2016-01-05,서울,강동구,37,19
2016-01-06,서울,강동구,63,25
2016-01-07,서울,강동구,66,30
2016-01-08,서울,강동구,54,29
2016-01-09,서울,강동구,68,30
2016-01-10,서울,강동구,31,16
2016-01-11,서울,강동구,57,17
2016-01-12,서울,강동구,66,33
2016-01-13,서울,강동구,43,22
2016-01-14,서울,강동구,49,31
2016-01-15,서울,강동구,68,43
2016-01-16,서울,강동구,63,53
2016-01-17,서울,강동구,72,60
2016-01-18,서울,강동구,75,70
2016-01-19,서울,강동구,34,12
2016-01-20,서울,강동구,72,35
2016-01-21,서울,강동구,75,43
2016-01-22,서울,강동구,61,35
2016-01-23,서울,강동구,41,15
2016-01-24,서울,강동구,32,10
2016-01-25,서울,강동구,88,25
2016-01-26,서울,강동구,107,41
2016-01-27,서울,강동구,96,51
2016-01-28,서울,강동구,83,36
2016-01-29,서울,강동구,84,34
2016-01-30,서울,강동구,73,32
2016-01-31,서울,강동구,71,26
2016-01-01,서울,금천구,96,73
2016-01-02,서울,금천구,63,43
2016-01-03,서울,금천구,152,107
2016-01-04,서울,금천구,148,108
2016-01-05,서울,금천구,43,25
2016-01-06,서울,금천구,57,34
2016-01-07,서울,금천구,59,33
